company_name,status,country,foreign_registration
Alpha Enterprises,Active,Australia,ABN:AUW9I5TXZLF
NextGen Technologies,Active,Australia,ABN:AUXNWWMESNZ
Universal Solutions,Active,USA,EIN:USXGYBT4O24
Universal Exports,Inactive,France,SIRET:FRT65I0OKMN
NextGen Technologies,Active,Canada,BN:CA0Q0JBYW1T
Nova Solutions,Active,Australia,ABN:AUP5HSMICVE
Prime Industries,Active,Canada,BN:CA9MW1GD7K9
NextGen Exports,Inactive,Australia,ABN:AUEH5E21YQ2
NextGen Logistics,Active,Australia,ABN:AUHIWUJH4QS
Global Logistics,Active,Canada,BN:CAUYLF1BINU
Alpha Industries,Active,France,SIRET:FRJ2IXG9QKK
TechWorld Technologies,Inactive,USA,EIN:USOB4BA14GF
TechWorld Solutions,Active,Japan,Corporate Number:JAXE9552647
Universal Logistics,Inactive,France,SIRET:FRAE3PMPSW8
Prime Logistics,Inactive,Australia,ABN:AUH91VMWUOW
Alpha Technologies,Active,Australia,ABN:AU59Q76RQKF
Infinity Industries,Inactive,Japan,Corporate Number:JADQGJ3ML4Q
International Solutions,Inactive,Australia,ABN:AUF9P352NWD
NextGen Technologies,Inactive,UK,CRN:UKU44BBH6C9
NextGen Exports,Inactive,UK,CRN:UKA0GUPW8EC
International Enterprises,Active,Germany,VAT:GE3YF0MG5S8
TechWorld Solutions,Active,USA,EIN:USGQDES9IJ0
Infinity Exports,Inactive,USA,EIN:USQSB51TRX0
International Industries,Active,Germany,VAT:GEUFK6ARQBP
TechWorld Logistics,Inactive,Canada,BN:CA1AYY9ZJ60
Infinity Logistics,Inactive,Germany,VAT:GE73EMTT0KK
Global Technologies,Active,France,SIRET:FRKSPT8GEHM
Omega Industries,Inactive,Canada,BN:CAK6K6ZZBHO
Omega Exports,Inactive,Japan,Corporate Number:JALHS6GHDJY
Global Enterprises,Inactive,USA,EIN:US4YIWQBFNO
TechWorld Solutions,Active,France,SIRET:FR1SKGJCU0S
International Solutions,Active,Canada,BN:CAWQYZ39FRI
TechWorld Solutions,Active,UK,CRN:UKPF3WKYSSH
Prime Industries,Active,UK,CRN:UKQF2CKPGFU
International Exports,Inactive,Australia,ABN:AUBSQQA42RI
TechWorld Solutions,Active,USA,EIN:US1XQC8V2WI
Global Enterprises,Inactive,USA,EIN:USVTFPI3H7Z
Alpha Enterprises,Active,Germany,VAT:GEEE9ROHXBG
NextGen Enterprises,Inactive,Japan,Corporate Number:JAZ4P3TBGQL
International Exports,Active,France,SIRET:FRJTMCFZBKW
Omega Exports,Active,Japan,Corporate Number:JA74K4I8ADC
Omega Solutions,Active,Canada,BN:CA10ZO91X9U
Alpha Industries,Active,Australia,ABN:AUPXJX0Y4UD
Infinity Enterprises,Inactive,Canada,BN:CAUHZHO0XG1
TechWorld Technologies,Active,Germany,VAT:GES4WF8MY3C
Infinity Solutions,Inactive,UK,CRN:UKRD2FI3BSL
Alpha Exports,Inactive,USA,EIN:USNJ5DIDU7V
TechWorld Industries,Active,UK,CRN:UKRFKE47P8S
Universal Technologies,Active,Canada,BN:CAXVP4T6QCA
Global Technologies,Inactive,Canada,BN:CAFXVNL6DH0
TechWorld Exports,Active,Japan,Corporate Number:JAEIWNVRN3Z
International Technologies,Active,Australia,ABN:AUD8I3UGLHA
Universal Logistics,Inactive,Germany,VAT:GEOMO5EIBN5
Global Exports,Active,UK,CRN:UKJDR0ZQIKM
NextGen Solutions,Active,Canada,BN:CA4SOS9DOZN
Nova Logistics,Active,Germany,VAT:GE15UYP82XE
TechWorld Enterprises,Active,UK,CRN:UK7BAJYYWCO
Universal Industries,Inactive,Germany,VAT:GEYOVDERT72
Universal Exports,Active,Germany,VAT:GEWVDCK3TZT
Nova Exports,Active,Canada,BN:CA7HW4RKFGF
Universal Industries,Active,France,SIRET:FR7N2FXL18L
Alpha Logistics,Inactive,UK,CRN:UKXYMKRQ0L8
Nova Industries,Inactive,Australia,ABN:AUEZQFYDYJC
Infinity Solutions,Active,UK,CRN:UKMEGLNV7I7
Global Logistics,Active,UK,CRN:UKTMLV8TTTJ
Infinity Solutions,Active,Australia,ABN:AUZKQ9OGKGV
NextGen Exports,Inactive,Japan,Corporate Number:JAI5L1RHRW3
Global Technologies,Active,Japan,Corporate Number:JAXBBI57MJO
International Solutions,Inactive,Australia,ABN:AUU4TDSG94T
Omega Exports,Inactive,Germany,VAT:GEI2E2FQAWR
Global Solutions,Inactive,France,SIRET:FR47Y47G6WP
Prime Technologies,Active,UK,CRN:UKYMSRPEF25
Infinity Enterprises,Active,UK,CRN:UKADK0HXYKH
Nova Exports,Inactive,Singapore,UEN:SIV1QZKFJVU
Global Technologies,Inactive,Japan,Corporate Number:JAL05G5S0OQ
International Solutions,Inactive,France,SIRET:FR8PRJJBVGB
TechWorld Logistics,Active,USA,EIN:US6IMITT40Y
Omega Enterprises,Active,Canada,BN:CA1O392LDNS
Universal Industries,Active,France,SIRET:FRF1UI8KG6C
Alpha Enterprises,Active,Germany,VAT:GEG1EE2LBZF
Universal Solutions,Inactive,Canada,BN:CA0JRICW977
Universal Enterprises,Inactive,Canada,BN:CA2B00EOK1T
Alpha Enterprises,Inactive,Japan,Corporate Number:JAGUML0IALE
NextGen Solutions,Inactive,Australia,ABN:AUL2DM6QDNO
Infinity Exports,Inactive,Japan,Corporate Number:JAZRSMY3Q1B
Universal Enterprises,Inactive,Australia,ABN:AUV2BG3XBFG
Nova Technologies,Inactive,Canada,BN:CAXEVCV9UZ7
Universal Industries,Active,Canada,BN:CAGR77UOMC1
Nova Solutions,Inactive,France,SIRET:FRHUSFJ29R5
International Industries,Inactive,Canada,BN:CAUO9LTMGV1
Prime Logistics,Inactive,Australia,ABN:AUJ1PN95TH1
Prime Logistics,Active,Canada,BN:CAI9H8F5MQA
Infinity Solutions,Active,USA,EIN:USRQP7D447B
Omega Exports,Active,UK,CRN:UKYZZ0NR9HH
TechWorld Enterprises,Active,Japan,Corporate Number:JAHOD3IY0E4
TechWorld Exports,Inactive,France,SIRET:FRHKL4LPHLW
Prime Exports,Active,Germany,VAT:GER2PLBKU8G
Prime Technologies,Active,UK,CRN:UKC24QO61MG
Universal Technologies,Active,Germany,VAT:GEMMG641TMF
Omega Enterprises,Inactive,Canada,BN:CAVM1WTGVHK
Infinity Logistics,Active,Singapore,UEN:SIOFN90KARE
Universal Enterprises,Inactive,UK,CRN:UKN5IUQ0DBG
International Logistics,Active,UK,CRN:UK4IDR2M2HQ
Prime Exports,Active,Singapore,UEN:SI5ZV4PVX9Z
NextGen Exports,Inactive,UK,CRN:UKWC6U3WQCL
Alpha Enterprises,Inactive,UK,CRN:UK2RT0N44O7
International Logistics,Active,Australia,ABN:AUADKVPWRYK
Global Industries,Inactive,Japan,Corporate Number:JA3S1U5J0Z6
Universal Technologies,Active,Australia,ABN:AU1UAFVALYW
TechWorld Industries,Inactive,Singapore,UEN:SI021U7PRVV
Universal Technologies,Inactive,France,SIRET:FR8CPEGO6OP
Alpha Enterprises,Inactive,France,SIRET:FROYR99I6ZO
NextGen Exports,Active,France,SIRET:FRP2TC0CBFP
Infinity Solutions,Inactive,France,SIRET:FRHMP8JVQ1L
Microsoft Corporation,Active,USA,US-MSFT-001
Apple Inc,Active,USA,US-APPL-002
Samsung Electronics,Active,South Korea,KR-SAMS-003
